Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
5842, -1, BR, 3.0, 98931.0, 98934.0, 
5842, -1, BR, 246.0, 98681.0, 98927.0, 
5842, -1, BR, 25.0, 98647.0, 98672.0, 
5842, -1, BR, 225.0, 98419.0, 98644.0, 
5843, -1, BR, 1219.0, 96841.0, 98060.0, 
5843, -1, BR, 22.0, 96817.0, 96839.0, 
5843, -1, BR, 7.0, 96808.0, 96815.0, 
5843, -1, BR, 32.0, 96774.0, 96806.0, 
5843, -1, BR, 34.0, 96738.0, 96772.0, 
5844, -1, BR, 18.0, 38987.0, 39005.0, 
5844, -1, BR, 153.0, 38830.0, 38983.0, 
5845, -1, BR, 61.0, 90562.0, 90623.0, 
5845, -1, BR, 2.0, 90556.0, 90558.0, 
5845, -1, BR, 93.0, 90458.0, 90551.0, 
5846, -1, BR, 108.0, 91903.0, 92011.0, 
5846, -1, BR, 766.0, 91135.0, 91901.0, 
5846, -1, BR, 283.0, 90850.0, 91133.0, 
5846, -1, BR, 78.0, 90770.0, 90848.0, 
5846, -1, BR, 593.0, 90175.0, 90768.0, 
5847, -1, BR, 838.0, 9659.0, 10497.0, 
5848, -1, BR, 507.0, 9859.0, 10366.0, 
5849, -1, BR, 128.0, 21322.0, 21450.0, 
5849, -1, BR, 361.0, 20956.0, 21317.0, 
5850, -1, BR, 46.0, 97912.0, 97958.0, 
5850, -1, BR, 20.0, 97890.0, 97910.0, 
5850, -1, BR, 3.0, 97885.0, 97888.0, 
5850, -1, BR, 2.0, 97873.0, 97875.0, 
5851, -1, BR, 40.0, 97321.0, 97361.0, 
5851, -1, BR, 56.0, 97259.0, 97315.0, 
5851, -1, BR, 204.0, 97050.0, 97254.0, 
5852, -1, BR, 1170.0, 38025.0, 39195.0, 
5852, -1, BR, 440.0, 37583.0, 38023.0, 
5853, -1, BR, 1148.0, 27897.0, 29045.0, 
5853, -1, BR, 617.0, 27276.0, 27893.0, 
5853, -1, BR, 262.0, 27009.0, 27271.0, 
5853, -1, BR, 2.0, 27001.0, 27003.0, 
5853, -1, BR, 24.0, 26975.0, 26999.0, 
5854, 1, FR, 488.0, 27998.0, 28486.0, 
5855, -1, BR, 492.0, 97366.0, 97858.0, 
5856, -1, BR, 14.0, 49678.0, 49692.0, 
5856, -1, BR, 8.0, 49659.0, 49667.0, 
5856, -1, BR, 131.0, 49509.0, 49640.0, 
5856, -1, BR, 195.0, 49308.0, 49503.0, 
5857, -1, BR, 2.0, 99783.0, 99785.0, 
5857, -1, BR, 2.0, 99775.0, 99777.0, 
5857, -1, BR, 79.0, 99692.0, 99771.0, 
5857, -1, BR, 131.0, 99559.0, 99690.0, 
5857, -1, BR, 2.0, 99551.0, 99553.0, 
5857, -1, BR, 239.0, 99308.0, 99547.0, 
5857, -1, BR, 2.0, 99301.0, 99303.0, 
5858, -1, BR, 43.0, 49904.0, 49947.0, 
5858, -1, BR, 150.0, 49752.0, 49902.0, 
5858, -1, BR, 3.0, 49744.0, 49747.0, 
5858, -1, BR, 33.0, 49709.0, 49742.0, 
5858, -1, BR, 644.0, 49062.0, 49706.0, 
5859, -1, BR, 33.0, 21335.0, 21368.0, 
