Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
4621, 1, FR, 21.0, 91152.0, 91173.0, 
4621, 1, FR, 8.0, 91137.0, 91145.0, 
4626, 1, FR, 4.0, 91213.0, 91217.0, 
4646, 1, FR, 4.0, 91930.0, 91934.0, 
4646, 1, FR, 25.0, 91895.0, 91920.0, 
4646, 1, FR, 38.0, 91855.0, 91893.0, 
4646, 1, FR, 293.0, 91544.0, 91837.0, 
4682, 1, FR, 11.0, 92609.0, 92620.0, 
4693, 1, FR, 14.0, 93153.0, 93167.0, 
4711, -1, BR, 2.0, 93404.0, 93406.0, 
4743, 1, FR, 4.0, 94370.0, 94374.0, 
4766, 1, FR, 82.0, 95010.0, 95092.0, 
4766, 1, FR, 2.0, 95003.0, 95005.0, 
4781, 1, FR, 4.0, 95170.0, 95174.0, 
4781, 1, FR, 15.0, 95153.0, 95168.0, 
4799, 1, FR, 5.0, 95650.0, 95655.0, 
4799, 1, FR, 123.0, 95523.0, 95646.0, 
4799, 1, FR, 7.0, 95510.0, 95517.0, 
4799, 1, FR, 5.0, 95489.0, 95494.0, 
4839, 1, FR, 347.0, 95907.0, 96254.0, 
4846, 1, FR, 17.0, 96100.0, 96117.0, 
4847, 1, FR, 27.0, 96165.0, 96192.0, 
4847, 1, FR, 2.0, 96151.0, 96153.0, 
4847, 1, FR, 3.0, 96146.0, 96149.0, 
4860, -1, BR, 110.0, 96380.0, 96490.0, 
4866, -1, BR, 35.0, 96944.0, 96979.0, 
4866, -1, BR, 7.0, 96907.0, 96914.0, 
4866, 2, FT, 475.0, 96415.0, 96890.0, 
4897, -1, BR, 4.0, 97120.0, 97124.0, 
4925, 1, FR, 8.0, 97618.0, 97626.0, 
4939, 1, FR, 4.0, 99599.0, 99603.0, 
4939, 1, FR, 62.0, 99527.0, 99589.0, 
4939, 1, FR, 1717.0, 97806.0, 99523.0, 
5027, 1, FR, 4.0, 99255.0, 99259.0, 
5046, 1, FR, 2.0, 100793.0, 100795.0, 
5046, 1, FR, 21.0, 100769.0, 100790.0, 
5046, 1, FR, 2.0, 100755.0, 100757.0, 
5046, 1, FR, 2.0, 100748.0, 100750.0, 
5046, -2, BT, 1301.0, 99443.0, 100744.0, 
5065, 1, FR, 5.0, 99593.0, 99598.0, 
5099, -1, BR, 2.0, 100393.0, 100395.0, 
5154, 1, FR, 14.0, 101704.0, 101718.0, 
5167, -2, BT, 734.0, 101998.0, 102732.0, 
5171, 1, FR, 31.0, 102071.0, 102102.0, 
5180, 1, FR, 3.0, 102212.0, 102215.0, 
5180, 1, FR, 8.0, 102198.0, 102206.0, 
5180, 1, FR, 79.0, 102117.0, 102196.0, 
5194, 1, FR, 2.0, 102243.0, 102245.0, 
5216, 1, FR, 2.0, 102617.0, 102619.0, 
5249, 1, FR, 2.0, 102951.0, 102953.0, 
5252, 1, FR, 18.0, 103012.0, 103030.0, 
5252, 1, FR, 10.0, 102992.0, 103002.0, 
